Total: 364
Published: 0
Pending: 0
Other statuses: 364

Other statuses:
  Semana 9, Dia 1, status: aprovado, id: 6b0f4d88-7902-4214-a7b1-c054253780f2
  Semana 11, Dia 3, status: aprovado, id: bc027ea2-4ea0-4d95-b12a-425a2397954e
  Semana 9, Dia 2, status: aprovado, id: 7088d876-77ba-466f-a037-7259e0fb44aa
  Semana 11, Dia 4, status: aprovado, id: c7784ab6-e41a-4b7c-945b-761344c23e07
  Semana 9, Dia 4, status: aprovado, id: 6eb4fce3-a9db-471f-9f88-39de5f7deb5b
  Semana 9, Dia 5, status: aprovado, id: 6f143c87-8e58-40d7-8160-0be5ecb49b75
  Semana 9, Dia 6, status: aprovado, id: 58b116e1-b409-48b1-a8a3-00f89310b2ed
  Semana 11, Dia 7, status: aprovado, id: 54d3edc6-75f5-4097-9d12-be1193f3cffd
  Semana 16, Dia 6, status: aprovado, id: f53de455-ff6a-4adc-8163-803355b0759e
  Semana 14, Dia 5, status: aprovado, id: 8e544b79-8ea4-4478-911a-e6e6c8a1ab4f
  Semana 12, Dia 2, status: aprovado, id: 8db54dd3-2089-453a-a0a3-c5c3a62cd335
  Semana 12, Dia 6, status: aprovado, id: 2d2f2bc8-3b00-4f47-9c23-736af799b1fc
  Semana 17, Dia 1, status: aprovado, id: 7af89ffb-fea1-442f-a8c8-7151a5dee1b0
  Semana 12, Dia 7, status: aprovado, id: 4fa2b652-780a-47b6-a0ba-39ba95c30817
  Semana 14, Dia 6, status: aprovado, id: 25370269-746a-4460-848a-47488a2c875c
  Semana 17, Dia 2, status: aprovado, id: 98ff31cd-2254-49d9-afb5-e343337c716a
  Semana 14, Dia 4, status: aprovado, id: 5fe33552-d3f0-4724-978a-8d390241e51a
  Semana 14, Dia 7, status: aprovado, id: f1154366-8200-47a5-a0c5-84686528614d
  Semana 15, Dia 7, status: aprovado, id: 05f3d8ac-7c14-4dfe-9f0c-7a4b794d765c
  Semana 12, Dia 4, status: aprovado, id: 8ecc58a9-d901-4869-b0a5-0e9a8714e3c5
  Semana 15, Dia 1, status: aprovado, id: a6ed76b4-6788-4a26-b189-131e379eeee9
  Semana 17, Dia 4, status: aprovado, id: ce16c230-d4c9-4984-8c18-3b010970f41d
  Semana 12, Dia 5, status: aprovado, id: ea54b0a2-0f5a-4a32-80e2-5395cd0eee3f
  Semana 16, Dia 7, status: aprovado, id: 087cad56-31bd-4be7-8fb5-1aabaa744595
  Semana 15, Dia 2, status: aprovado, id: 6953ce33-0556-4e0a-8c0d-7977c5a0af54
  Semana 17, Dia 5, status: aprovado, id: 0a36fb2c-8232-4ecf-a27d-5f18da902b67
  Semana 17, Dia 3, status: aprovado, id: 067021ec-c2af-43cf-b201-64e47202c81c
  Semana 15, Dia 3, status: aprovado, id: 81c784de-4add-4478-9302-9a1a2b1d44ac
  Semana 17, Dia 6, status: aprovado, id: 55866b84-59c4-4b9a-b5a6-b967cfb3e6ae
  Semana 15, Dia 4, status: aprovado, id: 1a655ae4-32c9-4da2-87ee-d92abb7f6ee4
  Semana 13, Dia 1, status: aprovado, id: 9467599d-2c38-41d7-a1e5-133d07aa2a13
  Semana 13, Dia 2, status: aprovado, id: 4f6de743-b6c7-43f7-b19c-64ff75b70df9
  Semana 15, Dia 5, status: aprovado, id: 0aef0e76-09b1-47fc-a657-b15a24da468d
  Semana 13, Dia 4, status: aprovado, id: c487746e-faa6-4112-84d3-e51b3787f0e4
  Semana 15, Dia 6, status: aprovado, id: fb9135ef-f137-44dc-ac80-10c01dcab1dd
  Semana 13, Dia 5, status: aprovado, id: 03de5988-b335-4375-ba48-49a54bd2e2bf
  Semana 13, Dia 6, status: aprovado, id: 757e03e4-5a1a-4ff9-92a7-80d51e2e29d0
  Semana 16, Dia 1, status: aprovado, id: 347c26aa-4d47-4877-99ce-ee45ebef9332
  Semana 13, Dia 7, status: aprovado, id: 70153111-3543-455b-bfb3-cc538ea3d539
  Semana 16, Dia 2, status: aprovado, id: 8b3360b6-af4c-4c8e-9a96-bffc17c10be6
  Semana 14, Dia 1, status: aprovado, id: 89d2d57f-4c62-4431-845f-52a1c96c137b
  Semana 16, Dia 3, status: aprovado, id: 5bd02a1a-2c2c-4487-9900-dd108794d9be
  Semana 14, Dia 2, status: aprovado, id: b4dcfc1b-7f3c-41be-a95d-e8dc59c2f4e7
  Semana 16, Dia 4, status: aprovado, id: aefb3330-f0f6-41ce-a3da-b47b8d6911a0
  Semana 16, Dia 5, status: aprovado, id: 3ebc52d0-e67e-4a43-ad8f-c972326c5593
  Semana 21, Dia 2, status: aprovado, id: 2e775685-5219-4635-bf66-6d24f5154f17
  Semana 23, Dia 4, status: aprovado, id: 7d4f8d84-bfd4-441e-a6f6-d8e4b09251bc
  Semana 28, Dia 7, status: aprovado, id: 7ff52dd4-b5be-426f-85c0-06ffc11b39df
  Semana 18, Dia 6, status: aprovado, id: 6c028e97-f1a9-4b38-bdfe-e073f815a639
  Semana 45, Dia 3, status: aprovado, id: 3c66f1a5-3890-4d44-8db6-64a0139a9df4
  Semana 21, Dia 3, status: aprovado, id: 8ea24047-ca18-48f8-ba36-1b3511a49dfa
  Semana 21, Dia 4, status: aprovado, id: 4cda3951-ffe6-4820-bb1b-d934c0474247
  Semana 19, Dia 1, status: aprovado, id: d2b9665e-9431-49e8-a000-145e22d36aa8
  Semana 21, Dia 5, status: aprovado, id: 82974404-d11c-4ebe-bb70-794f2073d82a
  Semana 18, Dia 2, status: aprovado, id: 6260c425-5d58-4e59-9150-f2ffccf384c5
  Semana 19, Dia 2, status: aprovado, id: 1c0f0dbb-5f35-418a-aaeb-d9f2e374967e
  Semana 21, Dia 6, status: aprovado, id: 6f2e8d92-4a3e-4199-ab26-4f929541bc49
  Semana 18, Dia 3, status: aprovado, id: 5e6570c2-89c4-47ca-be9a-73b84a2b2b49
  Semana 19, Dia 3, status: aprovado, id: 254df22f-0307-4529-8d12-42e5562220a1
  Semana 22, Dia 2, status: aprovado, id: b0e023b2-bef0-451a-900b-f82f937db6a2
  Semana 18, Dia 4, status: aprovado, id: f106011f-ee4e-4acf-ba66-aabdb99a363c
  Semana 21, Dia 7, status: aprovado, id: b3e3cfd6-88a6-47cc-a917-422ea9513e31
  Semana 19, Dia 4, status: aprovado, id: 0213c404-5f65-4361-826f-f4b4583dfe30
  Semana 22, Dia 3, status: aprovado, id: 20463dc5-00fd-4fec-a7c8-b977b6cb9a44
  Semana 22, Dia 1, status: aprovado, id: 594a5cfd-7753-492b-b285-8ee71cddb952
  Semana 19, Dia 5, status: aprovado, id: 9ff49eb1-4dba-4e45-99a6-bb384e15c2c9
  Semana 18, Dia 7, status: aprovado, id: 3f176fc3-e8a4-454f-a641-ad03ea21afbb
  Semana 22, Dia 4, status: aprovado, id: a4a06e7a-0d59-45f5-9f77-548652b84fda
  Semana 19, Dia 6, status: aprovado, id: 371135fc-0012-4e97-a1bc-1fbaf98cc068
  Semana 22, Dia 6, status: aprovado, id: 6bfa3132-e6eb-4449-8f87-b96b37880dd9
  Semana 19, Dia 7, status: aprovado, id: 5563c45a-0381-49fc-a495-f5ff9ce9cc5d
  Semana 23, Dia 3, status: aprovado, id: f8ec3e7d-cd1c-42f7-a882-3d994edf5cfe
  Semana 20, Dia 1, status: aprovado, id: 8487a0db-a70a-4119-882d-df249792d8f8
  Semana 20, Dia 3, status: aprovado, id: 7352abf1-0378-406c-ae97-2cd5748422be
  Semana 22, Dia 5, status: aprovado, id: e979235f-1107-4e37-8840-83923fde163d
  Semana 20, Dia 4, status: aprovado, id: 78ab0ecb-d44d-4a79-b5cb-a185404bf9f1
  Semana 20, Dia 5, status: aprovado, id: b29c86f8-2251-4a86-be0d-788abd7abec9
  Semana 22, Dia 7, status: aprovado, id: 0a325f02-8391-46bc-9d14-ce6a8fa50448
  Semana 20, Dia 6, status: aprovado, id: 610520d9-3aa6-40d5-8b7f-79815ff9b889
  Semana 23, Dia 1, status: aprovado, id: e3294580-beb3-4771-8898-d2cce8d9d2fe
  Semana 20, Dia 7, status: aprovado, id: 583e6563-44e5-4936-a6c3-c7f8d168f017
  Semana 27, Dia 7, status: aprovado, id: 3d12cfbb-ca88-4d40-a414-6f0cf6e5a47d
  Semana 25, Dia 6, status: aprovado, id: d0c49790-ac81-46bd-bb7a-44f5eb0f6c96
  Semana 27, Dia 4, status: aprovado, id: 5e109eea-05f2-4ba3-a6ce-972f31baf90c
  Semana 28, Dia 1, status: aprovado, id: e4a624a1-d1cd-46ad-9a73-4fd8d202fa24
  Semana 27, Dia 3, status: aprovado, id: 35a0cd4e-9e8c-4251-8c7a-994fe624bb9c
  Semana 24, Dia 2, status: aprovado, id: fff366d3-fb65-42e8-8cda-6e07f1ae3425
  Semana 28, Dia 2, status: aprovado, id: 7576210d-d4fb-4d14-9820-0aabf67f85b4
  Semana 28, Dia 3, status: aprovado, id: 3e8c019e-d49d-4622-9936-d958a4d56c0c
  Semana 26, Dia 2, status: aprovado, id: 5474d1b3-f794-45d9-9815-201742a8ebbd
  Semana 28, Dia 4, status: aprovado, id: c94a3d30-7770-476d-8885-564e8c9496d1
  Semana 25, Dia 7, status: aprovado, id: ea0b2213-c19f-41cb-8f36-4f89fc1c687e
  Semana 26, Dia 5, status: aprovado, id: e62acff7-608d-44eb-8753-13099cd4e85f
  Semana 28, Dia 6, status: aprovado, id: 0e553672-f622-4491-95aa-6a4f48d1f6d9
  Semana 26, Dia 6, status: aprovado, id: 8a45d47b-9217-471e-a508-13db1439b6fe
  Semana 23, Dia 7, status: aprovado, id: c2b8d486-c94e-46b8-a91b-2c546377826b
  Semana 29, Dia 2, status: aprovado, id: 44b9f6ef-eb39-4863-aecd-90ba7441f2a5
  Semana 28, Dia 5, status: aprovado, id: bb44aaac-d87c-408e-8aa8-bd74aff3f9b9
  Semana 24, Dia 1, status: aprovado, id: fd417eef-b47d-46d9-88e7-ad776d5b4337
  Semana 36, Dia 3, status: aprovado, id: 1bf464ba-db8d-454f-89a6-ac4427d966b5
  Semana 26, Dia 3, status: aprovado, id: 27c35487-b80b-4f0a-acba-124a0cd3e905
  Semana 26, Dia 4, status: aprovado, id: 034285d0-4c45-471f-a3c0-f0f36d4f849d
  Semana 24, Dia 3, status: aprovado, id: eb20e00c-8b9f-47be-9218-0657b3234f45
  Semana 24, Dia 4, status: aprovado, id: 01003b1f-e540-4b3f-bb78-ba7a0699788c
  Semana 24, Dia 5, status: aprovado, id: 4e34fccd-a3f9-4b61-a33c-84128774e149
  Semana 24, Dia 7, status: aprovado, id: 7dba54cf-6b85-457f-8b7f-0438ea5d1699
  Semana 26, Dia 7, status: aprovado, id: f2ae5475-36bb-432b-a187-50eccd7e6613
  Semana 25, Dia 1, status: aprovado, id: 1148b2de-e989-459d-8683-448c6e1f6b60
